TransactionID,CustomerID,TransactionDate,OrderValue,ItemsCount,Category
TX104382,C0951,2025-03-15 00:00:00,24.88,5,Electronics
TX103038,C0642,2025-03-16 00:00:00,21.63,5,Apparel
TX101314,C0290,2025-03-17 00:00:00,114.99,4,Beauty & Personal Care
TX101550,C0341,2025-03-17 00:00:00,35.88,4,Apparel
TX101609,C0356,2025-03-17 00:00:00,60.72,1,Books
TX103613,C0771,2025-03-18 00:00:00,191.0,4,Electronics
TX100387,C0094,2025-03-19 00:00:00,391.74,6,Apparel
TX100746,C0169,2025-03-19 00:00:00,26.73,2,Apparel
TX101100,C0246,2025-03-19 00:00:00,130.35,8,Electronics
TX100738,C0166,2025-03-20 00:00:00,53.71,2,Home & Kitchen
TX102581,C0545,2025-03-20 00:00:00,432.98,7,Electronics
TX103097,C0661,2025-03-20 00:00:00,311.83,9,Home & Kitchen
TX104004,C0869,2025-03-20 00:00:00,208.08,10,Books
TX100083,C0021,2025-03-21 00:00:00,81.15,5,Apparel
TX100241,C0058,2025-03-21 00:00:00,201.92,7,Apparel
TX100329,C0076,2025-03-21 00:00:00,86.11,5,Books
TX100366,C0090,2025-03-21 00:00:00,83.39,4,Apparel
TX104350,C0946,2025-03-21 00:00:00,33.09,5,Sports & Outdoors
TX100618,C0139,2025-03-22 00:00:00,119.03,6,Sports & Outdoors
TX100876,C0194,2025-03-22 00:00:00,28.46,1,Apparel
TX104203,C0910,2025-03-22 00:00:00,207.7,4,Books
TX100026,C0007,2025-03-23 00:00:00,218.09,6,Apparel
TX102282,C0484,2025-03-23 00:00:00,155.17,3,Apparel
TX102600,C0549,2025-03-23 00:00:00,190.54,7,Beauty & Personal Care
TX101392,C0312,2025-03-24 00:00:00,89.0,1,Electronics
TX100998,C0224,2025-03-25 00:00:00,241.95,4,Apparel
TX102585,C0546,2025-03-25 00:00:00,44.01,3,Apparel
TX100099,C0024,2025-03-26 00:00:00,167.95,8,Electronics
TX104156,C0896,2025-03-26 00:00:00,32.93,5,Apparel
TX102005,C0437,2025-03-28 00:00:00,199.58,3,Apparel
TX100996,C0224,2025-03-29 00:00:00,205.05,3,Electronics
TX102562,C0540,2025-03-30 00:00:00,119.31,7,Electronics
TX102606,C0549,2025-03-30 00:00:00,327.59,4,Beauty & Personal Care
TX104380,C0950,2025-03-30 00:00:00,211.49,8,Books
TX103095,C0661,2025-03-31 00:00:00,410.35,6,Sports & Outdoors
TX101994,C0436,2025-04-01 00:00:00,117.03,8,Beauty & Personal Care
TX101160,C0259,2025-04-03 00:00:00,133.26,6,Apparel
TX103014,C0637,2025-04-03 00:00:00,66.8,1,Apparel
TX103157,C0667,2025-04-03 00:00:00,150.97,10,Apparel
TX102561,C0540,2025-04-04 00:00:00,87.37,3,Electronics
TX103084,C0658,2025-04-04 00:00:00,65.94,2,Beauty & Personal Care
TX102314,C0490,2025-04-05 00:00:00,86.63,5,Books
TX104025,C0874,2025-04-07 00:00:00,69.48,1,Home & Kitchen
TX101458,C0321,2025-04-08 00:00:00,74.04,4,Electronics
TX102568,C0542,2025-04-08 00:00:00,83.09,2,Apparel
TX104519,C0978,2025-04-08 00:00:00,190.06,10,Apparel
TX104540,C0982,2025-04-09 00:00:00,60.37,4,Electronics
TX102391,C0506,2025-04-11 00:00:00,29.95,3,Electronics
TX101326,C0294,2025-04-12 00:00:00,32.67,2,Apparel
TX101549,C0341,2025-04-12 00:00:00,52.24,1,Home & Kitchen
TX104530,C0978,2025-04-12 00:00:00,165.87,9,Home & Kitchen
TX103034,C0642,2025-04-13 00:00:00,59.19,2,Sports & Outdoors
TX101329,C0295,2025-04-14 00:00:00,45.02,5,Electronics
TX104588,C0990,2025-04-14 00:00:00,165.63,5,Apparel
TX102877,C0609,2025-04-15 00:00:00,94.9,3,Home & Kitchen
TX102906,C0614,2025-04-16 00:00:00,338.68,3,Beauty & Personal Care
TX103092,C0661,2025-04-16 00:00:00,182.01,8,Sports & Outdoors
TX103323,C0705,2025-04-16 00:00:00,77.62,4,Home & Kitchen
TX101378,C0309,2025-04-17 00:00:00,175.35,10,Apparel
TX102342,C0497,2025-04-18 00:00:00,428.67,3,Electronics
TX102348,C0497,2025-04-18 00:00:00,495.86,3,Beauty & Personal Care
TX103451,C0735,2025-04-18 00:00:00,106.02,9,Books
TX103914,C0842,2025-04-18 00:00:00,211.49,9,Home & Kitchen
TX101916,C0419,2025-04-19 00:00:00,215.83,4,Apparel
TX103643,C0779,2025-04-21 00:00:00,44.86,5,Electronics
TX103694,C0793,2025-04-21 00:00:00,197.59,8,Apparel
TX103903,C0840,2025-04-21 00:00:00,104.05,8,Books
TX104298,C0933,2025-04-21 00:00:00,95.35,5,Sports & Outdoors
TX101843,C0405,2025-04-22 00:00:00,52.45,3,Books
TX102160,C0465,2025-04-22 00:00:00,116.2,6,Electronics
TX102429,C0511,2025-04-23 00:00:00,259.16,9,Electronics
TX103438,C0732,2025-04-23 00:00:00,99.79,2,Home & Kitchen
TX101169,C0260,2025-04-24 00:00:00,73.2,1,Beauty & Personal Care
TX102499,C0525,2025-04-24 00:00:00,161.28,9,Electronics
TX103807,C0819,2025-04-24 00:00:00,94.95,2,Beauty & Personal Care
TX100378,C0094,2025-04-25 00:00:00,233.33,4,Books
TX100529,C0119,2025-04-25 00:00:00,162.11,9,Books
TX101918,C0419,2025-04-25 00:00:00,488.37,9,Electronics
TX103692,C0793,2025-04-26 00:00:00,235.53,4,Home & Kitchen
TX104028,C0874,2025-04-26 00:00:00,76.5,5,Electronics
TX100044,C0011,2025-04-27 00:00:00,147.28,4,Electronics
TX103107,C0661,2025-04-28 00:00:00,162.43,8,Electronics
TX102100,C0453,2025-04-29 00:00:00,220.04,3,Electronics
TX100257,C0061,2025-04-30 00:00:00,73.84,4,Home & Kitchen
TX101919,C0419,2025-04-30 00:00:00,438.31,9,Books
TX103646,C0780,2025-04-30 00:00:00,89.01,3,Beauty & Personal Care
TX100030,C0009,2025-05-01 00:00:00,218.67,7,Home & Kitchen
TX104319,C0940,2025-05-01 00:00:00,233.31,3,Apparel
TX102629,C0555,2025-05-02 00:00:00,87.2,2,Books
TX100258,C0061,2025-05-04 00:00:00,117.58,9,Electronics
TX101168,C0260,2025-05-04 00:00:00,230.21,3,Apparel
TX103074,C0654,2025-05-04 00:00:00,29.66,5,Electronics
TX104264,C0925,2025-05-04 00:00:00,32.44,1,Home & Kitchen
TX100724,C0163,2025-05-06 00:00:00,181.38,10,Apparel
TX104071,C0884,2025-05-06 00:00:00,129.87,7,Beauty & Personal Care
TX101908,C0419,2025-05-07 00:00:00,470.81,10,Beauty & Personal Care
TX102094,C0453,2025-05-07 00:00:00,375.67,3,Electronics
TX102894,C0614,2025-05-07 00:00:00,330.45,5,Electronics
TX103290,C0697,2025-05-08 00:00:00,48.73,4,Home & Kitchen
TX103685,C0790,2025-05-08 00:00:00,70.73,2,Apparel
TX104579,C0987,2025-05-08 00:00:00,61.3,1,Apparel
TX100739,C0166,2025-05-09 00:00:00,42.06,1,Books
TX104335,C0943,2025-05-09 00:00:00,51.25,5,Beauty & Personal Care
TX100236,C0057,2025-05-10 00:00:00,64.19,2,Beauty & Personal Care
TX100720,C0160,2025-05-10 00:00:00,58.86,2,Beauty & Personal Care
TX101172,C0260,2025-05-10 00:00:00,134.73,10,Apparel
TX102204,C0470,2025-05-10 00:00:00,317.19,4,Home & Kitchen
TX102379,C0503,2025-05-10 00:00:00,150.16,9,Sports & Outdoors
TX102992,C0632,2025-05-10 00:00:00,111.95,3,Electronics
TX100262,C0063,2025-05-11 00:00:00,41.57,4,Books
TX101161,C0259,2025-05-11 00:00:00,166.58,4,Home & Kitchen
TX101603,C0354,2025-05-12 00:00:00,214.38,7,Books
TX104548,C0984,2025-05-12 00:00:00,95.82,3,Apparel
TX100175,C0046,2025-05-13 00:00:00,227.13,4,Electronics
TX101965,C0428,2025-05-13 00:00:00,219.63,8,Electronics
TX102638,C0559,2025-05-13 00:00:00,114.53,9,Apparel
TX103696,C0793,2025-05-13 00:00:00,194.38,10,Home & Kitchen
TX101891,C0416,2025-05-14 00:00:00,72.39,1,Beauty & Personal Care
TX101906,C0419,2025-05-14 00:00:00,268.42,8,Electronics
TX103094,C0661,2025-05-14 00:00:00,260.24,9,Electronics
TX103099,C0661,2025-05-14 00:00:00,457.04,7,Home & Kitchen
TX100194,C0050,2025-05-15 00:00:00,67.1,4,Electronics
TX102816,C0595,2025-05-15 00:00:00,31.59,4,Apparel
TX101767,C0385,2025-05-16 00:00:00,358.67,6,Beauty & Personal Care
TX101031,C0232,2025-05-17 00:00:00,34.69,2,Electronics
TX103774,C0811,2025-05-17 00:00:00,38.91,3,Beauty & Personal Care
TX104272,C0928,2025-05-17 00:00:00,64.76,3,Apparel
TX102248,C0478,2025-05-18 00:00:00,349.93,7,Beauty & Personal Care
TX103407,C0726,2025-05-18 00:00:00,230.4,6,Electronics
TX100202,C0052,2025-05-19 00:00:00,61.17,5,Apparel
TX102304,C0488,2025-05-19 00:00:00,272.69,9,Beauty & Personal Care
TX101217,C0271,2025-05-20 00:00:00,31.32,3,Apparel
TX101806,C0394,2025-05-20 00:00:00,388.14,6,Beauty & Personal Care
TX101951,C0426,2025-05-20 00:00:00,31.14,1,Apparel
TX104521,C0978,2025-05-20 00:00:00,456.2,3,Apparel
TX100521,C0117,2025-05-21 00:00:00,86.02,2,Beauty & Personal Care
TX103326,C0706,2025-05-21 00:00:00,11.27,2,Apparel
TX100230,C0057,2025-05-22 00:00:00,75.23,2,Apparel
TX102569,C0542,2025-05-22 00:00:00,60.5,3,Sports & Outdoors
TX103064,C0653,2025-05-22 00:00:00,129.18,8,Beauty & Personal Care
TX104564,C0985,2025-05-22 00:00:00,243.63,9,Sports & Outdoors
TX100674,C0153,2025-05-23 00:00:00,202.81,7,Apparel
TX102044,C0443,2025-05-23 00:00:00,63.44,2,Electronics
TX103329,C0707,2025-05-23 00:00:00,238.75,6,Books
TX100180,C0046,2025-05-24 00:00:00,173.29,10,Home & Kitchen
TX100487,C0110,2025-05-24 00:00:00,160.38,9,Home & Kitchen
TX102655,C0564,2025-05-25 00:00:00,24.34,2,Home & Kitchen
TX101456,C0321,2025-05-26 00:00:00,214.47,9,Home & Kitchen
TX102065,C0448,2025-05-26 00:00:00,160.55,10,Home & Kitchen
TX102916,C0617,2025-05-26 00:00:00,55.46,1,Apparel
TX103700,C0794,2025-05-26 00:00:00,484.16,5,Electronics
TX100389,C0094,2025-05-27 00:00:00,337.22,6,Beauty & Personal Care
TX103706,C0794,2025-05-27 00:00:00,187.76,3,Electronics
TX104072,C0884,2025-05-27 00:00:00,158.7,3,Sports & Outdoors
TX101566,C0344,2025-05-28 00:00:00,67.73,3,Electronics
TX100091,C0023,2025-05-29 00:00:00,183.19,5,Books
TX100401,C0096,2025-05-29 00:00:00,35.78,5,Books
TX100743,C0168,2025-05-29 00:00:00,55.66,2,Electronics
TX103957,C0854,2025-05-29 00:00:00,156.08,9,Apparel
TX104010,C0869,2025-05-29 00:00:00,380.46,5,Apparel
TX101923,C0421,2025-05-30 00:00:00,112.21,6,Beauty & Personal Care
TX102195,C0469,2025-05-30 00:00:00,345.88,6,Electronics
TX103262,C0690,2025-05-30 00:00:00,73.42,1,Apparel
TX103958,C0854,2025-05-30 00:00:00,139.55,10,Sports & Outdoors
TX104312,C0937,2025-05-30 00:00:00,98.33,2,Electronics
TX102717,C0580,2025-05-31 00:00:00,88.45,3,Electronics
TX103350,C0713,2025-05-31 00:00:00,45.69,3,Electronics
TX100522,C0117,2025-06-01 00:00:00,117.77,7,Apparel
TX102426,C0511,2025-06-01 00:00:00,231.03,7,Apparel
TX102501,C0525,2025-06-01 00:00:00,142.58,5,Apparel
TX102598,C0549,2025-06-01 00:00:00,319.89,10,Apparel
TX103519,C0751,2025-06-01 00:00:00,178.02,10,Home & Kitchen
TX101165,C0259,2025-06-02 00:00:00,146.03,8,Home & Kitchen
TX102064,C0448,2025-06-02 00:00:00,132.99,5,Home & Kitchen
TX102427,C0511,2025-06-02 00:00:00,434.05,7,Beauty & Personal Care
TX103699,C0793,2025-06-02 00:00:00,71.3,4,Books
TX100151,C0040,2025-06-03 00:00:00,129.42,8,Electronics
TX100192,C0050,2025-06-03 00:00:00,52.61,1,Electronics
TX100371,C0091,2025-06-03 00:00:00,98.38,3,Electronics
TX100540,C0123,2025-06-03 00:00:00,91.16,4,Electronics
TX100960,C0214,2025-06-03 00:00:00,108.72,5,Home & Kitchen
TX101457,C0321,2025-06-03 00:00:00,215.48,7,Beauty & Personal Care
TX102161,C0465,2025-06-03 00:00:00,72.73,4,Sports & Outdoors
TX102384,C0504,2025-06-03 00:00:00,63.0,1,Beauty & Personal Care
TX102979,C0627,2025-06-03 00:00:00,89.48,4,Electronics
TX103211,C0680,2025-06-03 00:00:00,149.24,9,Beauty & Personal Care
TX103623,C0773,2025-06-03 00:00:00,143.81,10,Books
TX104275,C0928,2025-06-03 00:00:00,56.6,3,Electronics
TX104265,C0925,2025-06-04 00:00:00,91.84,5,Apparel
TX104615,C0993,2025-06-04 00:00:00,202.68,9,Beauty & Personal Care
TX103689,C0792,2025-06-05 00:00:00,114.21,8,Electronics
TX104285,C0931,2025-06-05 00:00:00,95.85,5,Home & Kitchen
TX103606,C0771,2025-06-06 00:00:00,127.69,10,Electronics
TX103669,C0784,2025-06-06 00:00:00,38.89,5,Apparel
TX101995,C0436,2025-06-07 00:00:00,108.65,4,Electronics
TX102093,C0453,2025-06-07 00:00:00,416.97,7,Electronics
TX104369,C0949,2025-06-07 00:00:00,115.32,3,Apparel
TX100997,C0224,2025-06-09 00:00:00,110.85,3,Books
TX102336,C0496,2025-06-09 00:00:00,63.56,4,Electronics
TX102824,C0598,2025-06-09 00:00:00,48.45,5,Home & Kitchen
TX102949,C0622,2025-06-09 00:00:00,78.41,1,Apparel
TX104472,C0970,2025-06-09 00:00:00,57.59,3,Electronics
TX104614,C0993,2025-06-09 00:00:00,446.95,5,Beauty & Personal Care
TX100445,C0101,2025-06-10 00:00:00,28.11,4,Apparel
TX101032,C0232,2025-06-10 00:00:00,21.25,4,Electronics
TX101960,C0428,2025-06-10 00:00:00,146.3,8,Electronics
TX102203,C0470,2025-06-10 00:00:00,450.25,5,Beauty & Personal Care
TX101391,C0312,2025-06-11 00:00:00,32.64,1,Beauty & Personal Care
TX101998,C0437,2025-06-11 00:00:00,127.4,10,Electronics
TX102814,C0595,2025-06-11 00:00:00,40.72,1,Beauty & Personal Care
TX103978,C0860,2025-06-11 00:00:00,115.14,4,Electronics
TX104012,C0870,2025-06-11 00:00:00,98.57,4,Electronics
TX100580,C0132,2025-06-12 00:00:00,151.99,9,Home & Kitchen
TX102309,C0488,2025-06-12 00:00:00,201.08,7,Electronics
TX103647,C0780,2025-06-12 00:00:00,105.56,4,Electronics
TX103757,C0805,2025-06-12 00:00:00,164.22,9,Electronics
TX104487,C0973,2025-06-12 00:00:00,161.84,7,Home & Kitchen
TX101596,C0354,2025-06-13 00:00:00,337.24,5,Books
TX102467,C0519,2025-06-13 00:00:00,26.3,1,Electronics
TX102495,C0525,2025-06-14 00:00:00,65.98,2,Apparel
TX100663,C0149,2025-06-15 00:00:00,96.31,5,Electronics
TX100239,C0058,2025-06-16 00:00:00,464.4,7,Electronics
TX102423,C0511,2025-06-16 00:00:00,454.33,4,Apparel
TX104610,C0993,2025-06-16 00:00:00,484.25,9,Apparel
TX101909,C0419,2025-06-17 00:00:00,446.72,4,Home & Kitchen
TX102431,C0511,2025-06-17 00:00:00,482.14,3,Electronics
TX103997,C0868,2025-06-17 00:00:00,131.13,7,Beauty & Personal Care
TX104551,C0985,2025-06-17 00:00:00,428.81,5,Electronics
TX100025,C0007,2025-06-18 00:00:00,190.31,8,Apparel
TX100447,C0101,2025-06-18 00:00:00,85.62,4,Apparel
TX102097,C0453,2025-06-18 00:00:00,325.2,8,Apparel
TX102424,C0511,2025-06-18 00:00:00,491.12,8,Apparel
TX100665,C0149,2025-06-19 00:00:00,82.95,3,Beauty & Personal Care
TX101551,C0341,2025-06-19 00:00:00,38.71,3,Apparel
TX103802,C0818,2025-06-19 00:00:00,82.2,3,Electronics
TX104074,C0884,2025-06-19 00:00:00,62.11,5,Apparel
TX100385,C0094,2025-06-20 00:00:00,277.05,8,Beauty & Personal Care
TX100874,C0194,2025-06-20 00:00:00,23.91,5,Electronics
TX102903,C0614,2025-06-20 00:00:00,206.25,4,Apparel
TX104192,C0905,2025-06-20 00:00:00,62.42,4,Apparel
TX100102,C0025,2025-06-21 00:00:00,44.52,1,Home & Kitchen
TX100489,C0110,2025-06-21 00:00:00,154.01,8,Apparel
TX102249,C0478,2025-06-21 00:00:00,183.49,9,Electronics
TX103028,C0640,2025-06-21 00:00:00,47.42,4,Home & Kitchen
TX101575,C0348,2025-06-22 00:00:00,69.99,1,Electronics
TX102109,C0454,2025-06-22 00:00:00,67.92,1,Books
TX102192,C0469,2025-06-22 00:00:00,180.23,5,Home & Kitchen
TX103951,C0854,2025-06-22 00:00:00,116.71,9,Electronics
TX104617,C0993,2025-06-22 00:00:00,456.66,3,Electronics
TX101402,C0314,2025-06-23 00:00:00,43.23,4,Apparel
TX102207,C0471,2025-06-23 00:00:00,225.43,9,Electronics
TX102663,C0567,2025-06-23 00:00:00,117.31,4,Apparel
TX104247,C0918,2025-06-23 00:00:00,57.4,5,Beauty & Personal Care
TX100167,C0044,2025-06-24 00:00:00,215.38,4,Electronics
TX101097,C0245,2025-06-24 00:00:00,83.43,5,Electronics
TX104243,C0918,2025-06-24 00:00:00,107.28,5,Electronics
TX102662,C0567,2025-06-25 00:00:00,34.09,4,Apparel
TX101902,C0419,2025-06-26 00:00:00,272.17,5,Home & Kitchen
TX102492,C0525,2025-06-26 00:00:00,104.5,3,Books
TX101390,C0311,2025-06-27 00:00:00,36.68,4,Apparel
TX102220,C0475,2025-06-27 00:00:00,89.14,3,Apparel
TX102498,C0525,2025-06-27 00:00:00,150.01,3,Electronics
TX103518,C0751,2025-06-27 00:00:00,222.7,7,Electronics
TX103850,C0826,2025-06-27 00:00:00,22.26,2,Home & Kitchen
TX100356,C0085,2025-06-28 00:00:00,79.19,3,Electronics
TX100871,C0192,2025-06-28 00:00:00,134.82,10,Electronics
TX102159,C0465,2025-06-28 00:00:00,240.79,6,Electronics
TX102344,C0497,2025-06-28 00:00:00,497.14,3,Apparel
TX104544,C0983,2025-06-28 00:00:00,112.8,3,Sports & Outdoors
TX101012,C0227,2025-06-29 00:00:00,47.11,4,Home & Kitchen
TX102614,C0550,2025-06-29 00:00:00,38.5,2,Apparel
TX104371,C0949,2025-06-29 00:00:00,93.27,3,Beauty & Personal Care
TX100732,C0165,2025-06-30 00:00:00,64.07,2,Electronics
TX102418,C0511,2025-06-30 00:00:00,169.22,7,Home & Kitchen
TX102433,C0511,2025-06-30 00:00:00,242.5,6,Electronics
TX103984,C0863,2025-06-30 00:00:00,68.16,2,Books
TX100252,C0058,2025-07-01 00:00:00,429.85,10,Apparel
TX101175,C0261,2025-07-01 00:00:00,30.51,3,Beauty & Personal Care
TX103998,C0868,2025-07-01 00:00:00,244.44,6,Books
TX104612,C0993,2025-07-01 00:00:00,186.31,3,Sports & Outdoors
TX100131,C0033,2025-07-02 00:00:00,22.37,1,Electronics
TX100854,C0191,2025-07-02 00:00:00,276.78,4,Home & Kitchen
TX102539,C0535,2025-07-02 00:00:00,110.88,3,Sports & Outdoors
TX103249,C0689,2025-07-02 00:00:00,337.42,3,Home & Kitchen
TX103599,C0769,2025-07-02 00:00:00,329.54,5,Beauty & Personal Care
TX102438,C0514,2025-07-03 00:00:00,141.65,9,Electronics
TX101235,C0275,2025-07-04 00:00:00,25.32,3,Electronics
TX103859,C0828,2025-07-04 00:00:00,109.97,3,Electronics
TX100464,C0106,2025-07-05 00:00:00,71.07,4,Electronics
TX101924,C0421,2025-07-05 00:00:00,112.43,3,Beauty & Personal Care
TX104533,C0979,2025-07-05 00:00:00,34.28,4,Beauty & Personal Care
TX100392,C0094,2025-07-06 00:00:00,470.56,8,Beauty & Personal Care
TX102054,C0446,2025-07-06 00:00:00,79.91,5,Apparel
TX102599,C0549,2025-07-06 00:00:00,367.41,7,Apparel
TX102685,C0574,2025-07-06 00:00:00,72.28,2,Electronics
TX102997,C0633,2025-07-06 00:00:00,87.17,2,Apparel
TX104609,C0993,2025-07-06 00:00:00,248.51,7,Electronics
TX100961,C0214,2025-07-07 00:00:00,24.1,2,Electronics
TX101253,C0278,2025-07-07 00:00:00,95.53,4,Electronics
TX101255,C0278,2025-07-07 00:00:00,28.47,3,Beauty & Personal Care
TX103601,C0770,2025-07-07 00:00:00,20.96,5,Apparel
TX104268,C0926,2025-07-07 00:00:00,79.71,3,Electronics
TX100244,C0058,2025-07-08 00:00:00,206.44,4,Electronics
TX100978,C0219,2025-07-08 00:00:00,84.24,2,Sports & Outdoors
TX103063,C0653,2025-07-08 00:00:00,149.77,10,Books
TX103073,C0654,2025-07-08 00:00:00,68.83,4,Home & Kitchen
TX100592,C0136,2025-07-09 00:00:00,103.05,7,Beauty & Personal Care
TX101519,C0332,2025-07-09 00:00:00,56.95,5,Beauty & Personal Care
TX101901,C0419,2025-07-09 00:00:00,432.52,7,Sports & Outdoors
TX102823,C0598,2025-07-09 00:00:00,96.44,3,Electronics
TX103101,C0661,2025-07-09 00:00:00,429.11,10,Apparel
TX103484,C0742,2025-07-09 00:00:00,41.77,2,Electronics
TX104172,C0900,2025-07-09 00:00:00,104.01,4,Sports & Outdoors
TX100090,C0023,2025-07-10 00:00:00,114.81,5,Electronics
TX101447,C0320,2025-07-10 00:00:00,212.46,4,Books
TX102932,C0619,2025-07-10 00:00:00,298.72,4,Electronics
TX103372,C0716,2025-07-10 00:00:00,116.73,10,Electronics
TX100166,C0044,2025-07-11 00:00:00,146.68,5,Beauty & Personal Care
TX101182,C0263,2025-07-11 00:00:00,72.18,2,Home & Kitchen
TX103037,C0642,2025-07-11 00:00:00,21.49,2,Electronics
TX100449,C0102,2025-07-12 00:00:00,94.38,5,Sports & Outdoors
TX102103,C0454,2025-07-12 00:00:00,161.88,7,Apparel
TX100583,C0132,2025-07-13 00:00:00,117.88,9,Apparel
TX102933,C0619,2025-07-13 00:00:00,225.06,4,Home & Kitchen
TX103622,C0773,2025-07-13 00:00:00,220.09,3,Electronics
TX104643,C0999,2025-07-13 00:00:00,19.73,3,Apparel
TX102142,C0463,2025-07-14 00:00:00,434.98,10,Home & Kitchen
TX102680,C0573,2025-07-14 00:00:00,28.44,2,Electronics
TX103228,C0684,2025-07-14 00:00:00,108.59,9,Home & Kitchen
TX103239,C0687,2025-07-14 00:00:00,100.89,6,Electronics
TX103409,C0726,2025-07-14 00:00:00,384.61,9,Books
TX104189,C0904,2025-07-14 00:00:00,118.83,7,Apparel
TX100731,C0165,2025-07-15 00:00:00,27.76,1,Home & Kitchen
TX101895,C0418,2025-07-15 00:00:00,241.59,6,Home & Kitchen
TX103485,C0742,2025-07-15 00:00:00,91.49,4,Beauty & Personal Care
TX104616,C0993,2025-07-15 00:00:00,291.47,3,Books
TX101325,C0293,2025-07-16 00:00:00,107.33,6,Beauty & Personal Care
TX101335,C0298,2025-07-16 00:00:00,68.9,5,Electronics
TX102051,C0446,2025-07-16 00:00:00,43.52,4,Beauty & Personal Care
TX102493,C0525,2025-07-16 00:00:00,217.18,6,Electronics
TX102615,C0550,2025-07-16 00:00:00,97.63,4,Apparel
TX104009,C0869,2025-07-16 00:00:00,156.3,7,Apparel
TX100040,C0010,2025-07-17 00:00:00,144.32,3,Books
TX100248,C0058,2025-07-17 00:00:00,336.78,4,Sports & Outdoors
TX101755,C0385,2025-07-17 00:00:00,207.01,6,Electronics
TX102018,C0441,2025-07-17 00:00:00,193.79,6,Beauty & Personal Care
TX102372,C0502,2025-07-17 00:00:00,63.96,3,Books
TX102425,C0511,2025-07-17 00:00:00,213.92,6,Home & Kitchen
TX103630,C0775,2025-07-17 00:00:00,75.77,2,Home & Kitchen
TX104297,C0933,2025-07-17 00:00:00,167.45,9,Apparel
TX104550,C0985,2025-07-17 00:00:00,277.27,9,Sports & Outdoors
TX100577,C0131,2025-07-18 00:00:00,24.18,5,Home & Kitchen
TX101453,C0320,2025-07-18 00:00:00,220.64,4,Apparel
TX103398,C0724,2025-07-18 00:00:00,119.35,7,Electronics
TX104114,C0891,2025-07-18 00:00:00,61.43,5,Beauty & Personal Care
